======================================================================
  CATAN BOT SIMULATION -- 2026-04-03 15:35:53
  Variant: base-3-4, Players: 4, VP Target: 10
======================================================================

PLAYERS:
  1. Bot Bob (blue)
  2. Bot Alice (red)
  3. Bot Diana (orange)
  4. Bot Charlie (white)

----------------------------------------------------------------------
TURN LOG:
----------------------------------------------------------------------

T 27 | Bot Diana      | dice-roll            | 5+6=11
T 27 | SYSTEM         | resource-distribution | resource-distribution
T 28 | Bot Diana      | end-turn             | ended turn
T 28 | Bot Charlie    | dice-roll            | 4+1=5
T 28 | SYSTEM         | resource-distribution | resource-distribution
T 28 | Bot Charlie    | maritime-trade       | 4:1 brick→lumber
T 29 | Bot Charlie    | end-turn             | ended turn
T 29 | Bot Bob        | dice-roll            | 2+6=8
T 29 | SYSTEM         | resource-distribution | resource-distribution
T 29 | Bot Bob        | maritime-trade       | 4:1 ore→grain
T 29 | Bot Bob        | build-settlement     | built settlement
T 29 | Bot Bob        | build-road           | built road
T 30 | Bot Bob        | end-turn             | ended turn
T 30 | Bot Alice      | dice-roll            | 4+1=5
T 30 | SYSTEM         | resource-distribution | resource-distribution
T 30 | Bot Alice      | buy-dev-card         | bought dev card
T 31 | Bot Alice      | end-turn             | ended turn
T 31 | Bot Diana      | dice-roll            | 1+2=3
T 31 | SYSTEM         | resource-distribution | resource-distribution
T 32 | Bot Diana      | end-turn             | ended turn
T 32 | Bot Charlie    | dice-roll            | 3+2=5
T 32 | SYSTEM         | resource-distribution | resource-distribution
T 33 | Bot Charlie    | end-turn             | ended turn
T 33 | Bot Bob        | dice-roll            | 2+1=3
T 33 | SYSTEM         | resource-distribution | resource-distribution
T 33 | Bot Bob        | maritime-trade       | 2:1 lumber→brick
T 34 | Bot Bob        | end-turn             | ended turn
T 34 | Bot Alice      | dice-roll            | 1+6=7
T 34 | Bot Diana      | discard              | discarded 5 cards
T 34 | Bot Alice      | move-robber          | moved robber
T 34 | Bot Alice      | steal                | stole from Bot Bob
T 35 | Bot Alice      | end-turn             | ended turn
T 35 | Bot Diana      | dice-roll            | 5+2=7
T 35 | Bot Diana      | move-robber          | moved robber
T 35 | Bot Diana      | steal                | stole from Bot Alice
T 35 | Bot Diana      | maritime-trade       | 3:1 brick→lumber
T 36 | Bot Diana      | end-turn             | ended turn
T 36 | Bot Charlie    | dice-roll            | 4+1=5
T 36 | SYSTEM         | resource-distribution | resource-distribution
T 37 | Bot Charlie    | end-turn             | ended turn
T 37 | Bot Bob        | dice-roll            | 4+1=5
T 37 | SYSTEM         | resource-distribution | resource-distribution
T 38 | Bot Bob        | end-turn             | ended turn
T 38 | Bot Alice      | play-knight          | played knight
T 38 | Bot Alice      | move-robber          | moved robber
T 38 | Bot Alice      | steal                | stole from Bot Bob
T 38 | Bot Alice      | largest-army         | largest army (3)
T 38 | Bot Alice      | build-road           | built road
T 38 | Bot Alice      | maritime-trade       | 4:1 grain→brick
T 39 | Bot Alice      | end-turn             | ended turn
T 39 | Bot Diana      | dice-roll            | 3+4=7
T 39 | Bot Diana      | discard              | discarded 4 cards
T 39 | Bot Charlie    | discard              | discarded 4 cards
T 39 | Bot Diana      | move-robber          | moved robber
T 39 | Bot Diana      | steal                | stole from Bot Alice
T 40 | Bot Diana      | end-turn             | ended turn
T 40 | Bot Charlie    | dice-roll            | 5+1=6
T 40 | SYSTEM         | resource-distribution | resource-distribution
T 41 | Bot Charlie    | end-turn             | ended turn
T 41 | Bot Bob        | dice-roll            | 1+2=3
T 41 | SYSTEM         | resource-distribution | resource-distribution
T 42 | Bot Bob        | end-turn             | ended turn
T 42 | Bot Alice      | dice-roll            | 6+4=10
T 42 | SYSTEM         | resource-distribution | resource-distribution
T 43 | Bot Alice      | end-turn             | ended turn
T 43 | Bot Diana      | dice-roll            | 3+2=5
T 43 | SYSTEM         | resource-distribution | resource-distribution
T 43 | Bot Diana      | maritime-trade       | 3:1 lumber→wool
T 43 | Bot Diana      | buy-dev-card         | bought dev card
T 43 | Bot Diana      | maritime-trade       | 3:1 brick→lumber
T 44 | Bot Diana      | end-turn             | ended turn
T 44 | Bot Charlie    | dice-roll            | 2+6=8
T 44 | SYSTEM         | resource-distribution | resource-distribution
T 45 | Bot Charlie    | end-turn             | ended turn
T 45 | Bot Bob        | dice-roll            | 2+5=7
T 45 | Bot Charlie    | discard              | discarded 4 cards
T 45 | Bot Bob        | move-robber          | moved robber
T 45 | Bot Bob        | steal                | stole from Bot Alice
T 45 | Bot Bob        | maritime-trade       | 2:1 lumber→brick
T 46 | Bot Bob        | end-turn             | ended turn
T 46 | Bot Alice      | dice-roll            | 4+2=6
T 46 | SYSTEM         | resource-distribution | resource-distribution
T 47 | Bot Alice      | end-turn             | ended turn
T 47 | Bot Diana      | dice-roll            | 4+2=6
T 47 | SYSTEM         | resource-distribution | resource-distribution
T 48 | Bot Diana      | end-turn             | ended turn
T 48 | Bot Charlie    | dice-roll            | 1+6=7
T 48 | Bot Charlie    | move-robber          | moved robber
T 48 | Bot Charlie    | steal                | stole from Bot Alice
T 49 | Bot Charlie    | end-turn             | ended turn
T 49 | Bot Bob        | dice-roll            | 4+2=6
T 49 | SYSTEM         | resource-distribution | resource-distribution
T 50 | Bot Bob        | end-turn             | ended turn
T 50 | Bot Alice      | dice-roll            | 4+6=10
T 50 | SYSTEM         | resource-distribution | resource-distribution
T 51 | Bot Alice      | end-turn             | ended turn
T 51 | Bot Diana      | dice-roll            | 6+3=9
T 51 | SYSTEM         | resource-distribution | resource-distribution
T 51 | Bot Diana      | maritime-trade       | 3:1 grain→brick
T 52 | Bot Diana      | end-turn             | ended turn
T 52 | Bot Charlie    | dice-roll            | 2+4=6
T 52 | SYSTEM         | resource-distribution | resource-distribution
T 52 | Bot Charlie    | maritime-trade       | 4:1 wool→grain
T 53 | Bot Charlie    | end-turn             | ended turn
T 53 | Bot Bob        | dice-roll            | 4+5=9
T 53 | SYSTEM         | resource-distribution | resource-distribution
T 54 | Bot Bob        | end-turn             | ended turn
T 54 | Bot Alice      | dice-roll            | 1+5=6
T 54 | SYSTEM         | resource-distribution | resource-distribution
T 55 | Bot Alice      | end-turn             | ended turn
T 55 | Bot Diana      | dice-roll            | 4+5=9
T 55 | SYSTEM         | resource-distribution | resource-distribution
T 55 | Bot Diana      | build-settlement     | built settlement
T 55 | Bot Diana      | maritime-trade       | 3:1 grain→ore
T 56 | Bot Diana      | end-turn             | ended turn
T 56 | Bot Charlie    | dice-roll            | 3+1=4
T 56 | SYSTEM         | resource-distribution | resource-distribution
T 56 | Bot Charlie    | build-settlement     | built settlement
T 56 | Bot Charlie    | build-road           | built road
T 56 | Bot Charlie    | maritime-trade       | 3:1 ore→lumber
T 57 | Bot Charlie    | end-turn             | ended turn
T 57 | Bot Bob        | dice-roll            | 3+6=9
T 57 | SYSTEM         | resource-distribution | resource-distribution
T 58 | Bot Bob        | end-turn             | ended turn
T 58 | Bot Alice      | dice-roll            | 3+5=8
T 58 | SYSTEM         | resource-distribution | resource-distribution
T 58 | Bot Alice      | maritime-trade       | 4:1 ore→grain
T 59 | Bot Alice      | end-turn             | ended turn
T 59 | Bot Diana      | dice-roll            | 1+6=7
T 59 | Bot Bob        | discard              | discarded 4 cards
T 59 | Bot Diana      | move-robber          | moved robber
T 59 | Bot Diana      | steal                | stole from Bot Alice
T 59 | Bot Diana      | buy-dev-card         | bought dev card
T 60 | Bot Diana      | end-turn             | ended turn
T 60 | Bot Charlie    | dice-roll            | 1+6=7
T 60 | Bot Charlie    | move-robber          | moved robber
T 60 | Bot Charlie    | steal                | stole from Bot Diana
T 60 | Bot Charlie    | build-settlement     | built settlement
T 61 | Bot Charlie    | end-turn             | ended turn
T 61 | Bot Bob        | dice-roll            | 2+6=8
T 61 | SYSTEM         | resource-distribution | resource-distribution
T 62 | Bot Bob        | end-turn             | ended turn
T 62 | Bot Alice      | dice-roll            | 4+3=7
T 62 | Bot Alice      | move-robber          | moved robber
T 62 | Bot Alice      | steal                | stole from Bot Charlie
T 63 | Bot Alice      | end-turn             | ended turn
T 63 | Bot Diana      | dice-roll            | 2+4=6
T 63 | SYSTEM         | resource-distribution | resource-distribution
T 64 | Bot Diana      | end-turn             | ended turn
T 64 | Bot Charlie    | dice-roll            | 6+5=11
T 64 | SYSTEM         | resource-distribution | resource-distribution
T 65 | Bot Charlie    | end-turn             | ended turn
T 65 | Bot Bob        | dice-roll            | 5+6=11
T 65 | SYSTEM         | resource-distribution | resource-distribution
T 65 | Bot Bob        | build-road           | built road
T 66 | Bot Bob        | end-turn             | ended turn
T 66 | Bot Alice      | dice-roll            | 4+1=5
T 66 | SYSTEM         | resource-distribution | resource-distribution
T 66 | Bot Alice      | maritime-trade       | 4:1 grain→wool
T 67 | Bot Alice      | end-turn             | ended turn
T 67 | Bot Diana      | dice-roll            | 6+4=10
T 67 | SYSTEM         | resource-distribution | resource-distribution
T 67 | Bot Diana      | build-road           | built road
T 68 | Bot Diana      | end-turn             | ended turn
T 68 | Bot Charlie    | dice-roll            | 2+3=5
T 68 | SYSTEM         | resource-distribution | resource-distribution
T 68 | Bot Charlie    | maritime-trade       | 3:1 brick→lumber
T 68 | Bot Charlie    | build-road           | built road
T 69 | Bot Charlie    | end-turn             | ended turn
T 69 | Bot Bob        | dice-roll            | 5+6=11
T 69 | SYSTEM         | resource-distribution | resource-distribution
T 69 | Bot Bob        | build-road           | built road
